관측소명:경포대해수욕장
위도:37.808972
경도:128.931889
관측시간	유속(cm/s)	유향(16points)	유향(deg)	수온(℃)	염분(PSU)	유의파고(m)	유의파주기(sec)	최대파고(m)	최대파주기(sec)	풍속(m/s)	풍향(16points)	풍향(deg)	기온(℃)	기압(hPa)	시정(m)	파향(deg)	
2021-01-01 00:00:00	9.6	남남서	204	13.97	27.65	1.32	6.3	1.75	7.0	10.3	서북서	291	-1.6	1021.8	-	353	
2021-01-01 00:05:00	4.3	남남서	198	13.97	27.58	1.24	6.3	1.90	5.5	6.9	서	274	-2.3	1021.9	-	8	
2021-01-01 00:10:00	2.6	남남동	165	13.96	27.61	1.32	6.7	1.98	6.5	5.9	서	268	-2.8	1022.0	-	300	
2021-01-01 00:15:00	3.3	서남서	255	13.95	27.62	1.46	6.8	1.85	7.0	5.7	서남서	248	-3.1	1022.1	-	7	
2021-01-01 00:20:00	2.2	서북서	283	13.93	27.63	1.42	6.6	2.04	7.0	5.1	서남서	257	-3.3	1022.2	-	4	
2021-01-01 00:25:00	4.6	동남동	119	13.94	27.58	1.12	6.2	1.45	7.0	4.7	서남서	258	-3.2	1022.3	-	20	
2021-01-01 00:30:00	2.0	남	186	13.95	27.60	1.27	6.3	1.59	6.5	5.1	서	265	-3.2	1022.3	-	14	
2021-01-01 00:35:00	3.1	서	270	13.93	27.73	1.43	7.2	1.79	7.0	4.9	서	278	-3.1	1022.4	-	12	
2021-01-01 00:40:00	3.8	남	185	13.92	27.65	1.27	6.6	1.56	7.0	5.2	서	264	-2.8	1022.4	-	18	
2021-01-01 00:45:00	1.6	남남서	212	13.93	27.64	1.46	6.8	2.48	6.0	3.3	남서	230	-3.3	1022.5	-	341	
2021-01-01 00:50:00	4.7	서남서	238	13.93	27.64	1.41	7.2	1.86	7.0	2.1	남서	232	-3.5	1022.5	-	23	
2021-01-01 00:55:00	4.7	남남동	159	13.91	27.66	1.16	6.2	1.56	5.0	1.7	남	182	-3.4	1022.6	-	17	
2021-01-01 01:00:00	1.4	남남동	165	13.88	27.70	1.29	6.1	1.63	7.0	1.8	남	184	-3.9	1022.6	-	30	
2021-01-01 01:05:00	3.2	남남서	200	13.88	27.68	1.37	6.7	2.09	6.5	1.7	남남동	159	-3.9	1022.6	-	10	
2021-01-01 01:10:00	7.6	남	186	13.90	27.85	1.41	6.4	1.74	7.5	2.3	남남서	194	-3.7	1022.6	-	26	
2021-01-01 01:15:00	11.4	남남동	162	13.91	27.60	1.32	6.0	1.68	6.0	1.6	남남서	195	-3.8	1022.6	-	11	
2021-01-01 01:20:00	3.4	남서	214	13.89	27.69	1.51	6.6	1.93	7.0	1.2	남서	221	-3.5	1022.7	-	359	
2021-01-01 01:25:00	9.9	남서	228	13.88	27.61	1.46	6.9	1.97	6.0	3.9	서북서	288	-3.2	1022.7	-	355	
2021-01-01 01:30:00	1.5	서남서	247	13.85	28.31	1.50	7.1	1.97	6.0	6.9	북서	304	-2.3	1022.5	-	24	
2021-01-01 01:35:00	9.1	남남동	169	13.85	27.62	1.35	7.4	1.60	8.0	6.7	서	266	-2.6	1022.4	-	26	
2021-01-01 01:40:00	4.5	북서	326	13.88	27.62	1.37	6.8	1.74	9.0	5.2	남남서	201	-3.1	1022.6	-	324	
2021-01-01 01:45:00	6.6	남남동	163	13.89	27.65	1.44	7.2	1.96	6.5	4.1	남남서	198	-3.3	1022.7	-	10	
2021-01-01 01:50:00	2.4	남서	217	13.90	27.80	1.45	6.8	1.76	5.5	3.5	남서	220	-3.5	1022.8	-	356	
2021-01-01 01:55:00	5.8	남서	216	13.90	27.65	1.18	6.8	1.63	6.5	3.2	서남서	244	-3.6	1023.0	-	356	
2021-01-01 02:00:00	2.6	남서	228	13.89	27.64	1.33	6.4	1.99	7.5	1.7	서	277	-3.6	1023.1	-	3	
2021-01-01 02:05:00	1.4	동	84	13.88	27.64	1.32	6.2	1.90	7.0	2.5	남	177	-3.5	1023.0	-	344	
2021-01-01 02:10:00	2.8	남남동	166	13.87	27.73	1.23	7.0	2.18	7.5	2.7	남서	225	-3.5	1023.1	-	8	
2021-01-01 02:15:00	9.1	남남서	195	13.86	27.71	1.30	7.0	1.84	7.0	4.1	남서	224	-3.2	1023.1	-	21	
2021-01-01 02:20:00	11.4	남	187	13.85	27.81	1.47	7.0	2.01	7.0	2.2	남남서	194	-3.4	1023.3	-	3	
2021-01-01 02:25:00	4.5	남동	135	13.86	27.42	1.46	6.5	2.83	7.0	3.1	남서	226	-3.5	1023.5	-	1	
2021-01-01 02:30:00	5.8	남	184	13.88	27.76	1.38	7.0	1.95	5.5	2.1	남남서	195	-3.7	1023.6	-	18	
2021-01-01 02:35:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2021-01-01 02:40:00	2.2	남서	227	13.85	27.63	1.31	5.0	2.62	5.0	2.5	남서	231	-3.6	1023.7	-	10	
2021-01-01 02:45:00	5.8	북북서	339	13.84	27.80	1.25	6.8	1.69	5.5	1.4	남남서	198	-4.0	1023.8	-	4	
2021-01-01 02:50:00	5.6	북서	323	13.84	27.69	1.37	7.1	1.92	7.0	2.3	남서	229	-3.8	1023.9	-	18	
2021-01-01 02:55:00	4.1	북서	309	13.85	27.34	1.49	6.7	2.21	6.0	2.4	남서	222	-4.0	1023.9	-	30	
2021-01-01 03:00:00	4.7	북서	317	13.85	27.78	1.39	7.0	1.64	7.0	0.8	서남서	257	-3.9	1024.0	-	356	
2021-01-01 03:05:00	5.9	북북동	28	13.86	27.84	1.42	6.9	1.77	7.5	2.9	남남서	204	-3.7	1023.9	-	9	
2021-01-01 03:10:00	5.7	서북서	297	13.84	27.79	1.41	7.0	1.91	6.5	3.4	남서	231	-4.0	1024.0	-	0	
2021-01-01 03:15:00	3.4	남서	219	13.84	27.59	1.29	6.6	2.07	6.5	3.2	서남서	245	-4.1	1024.0	-	359	
2021-01-01 03:20:00	6.3	북서	318	13.83	27.67	1.40	6.6	2.20	7.0	2.7	서남서	255	-4.1	1024.0	-	9	
2021-01-01 03:25:00	10.7	남남서	207	13.86	27.73	1.45	6.8	2.43	6.0	4.7	남서	236	-4.1	1024.0	-	2	
2021-01-01 03:30:00	4.4	남서	230	13.84	28.08	1.18	6.2	1.47	4.5	6.9	남서	222	-4.2	1023.9	-	15	
2021-01-01 03:35:00	3.3	북	353	13.81	27.63	1.26	6.4	1.55	7.0	7.1	남서	231	-4.2	1023.9	-	8	
2021-01-01 03:40:00	7.0	서북서	293	13.79	28.64	1.37	6.8	1.82	7.0	6.1	남서	224	-4.3	1024.0	-	17	
2021-01-01 03:45:00	5.5	서남서	237	13.82	27.69	1.30	6.6	1.83	6.0	6.0	남서	231	-4.5	1024.1	-	17	
2021-01-01 03:50:00	5.1	서북서	301	13.82	27.81	1.44	7.3	1.68	6.5	5.7	남서	234	-4.6	1024.1	-	24	
2021-01-01 03:55:00	4.0	남남서	206	13.82	27.72	1.27	6.6	1.74	6.5	4.7	남서	225	-4.7	1024.2	-	7	
2021-01-01 04:00:00	7.5	남남서	192	13.80	27.79	1.35	6.6	1.92	6.5	5.3	남서	225	-4.5	1024.2	-	8	
2021-01-01 04:05:00	3.9	남남서	201	13.83	27.82	1.23	6.3	1.57	8.0	5.2	남서	229	-4.9	1024.2	-	21	
2021-01-01 04:10:00	4.7	남서	214	13.84	27.84	1.34	6.6	2.28	6.0	5.0	서남서	239	-4.9	1024.2	-	358	
2021-01-01 04:15:00	7.1	서남서	247	13.81	27.89	1.32	6.8	1.89	6.0	5.3	서남서	238	-4.7	1024.1	-	354	
2021-01-01 04:20:00	5.2	서남서	252	13.84	27.87	1.20	7.0	1.36	8.0	5.2	서남서	241	-4.8	1024.1	-	7	
2021-01-01 04:25:00	2.8	남	187	13.83	27.71	1.40	7.0	1.89	6.0	5.6	남서	234	-4.6	1024.0	-	8	
2021-01-01 04:30:00	7.1	남남서	206	13.80	27.96	1.54	6.3	2.41	6.0	4.0	서남서	242	-4.7	1024.0	-	357	
2021-01-01 04:35:00	8.1	남남서	192	13.81	27.81	1.37	6.7	2.23	6.0	4.8	남서	231	-4.6	1023.8	-	15	
2021-01-01 04:40:00	10.5	남서	223	13.78	27.80	1.29	6.9	1.71	5.5	3.9	서남서	241	-4.5	1023.9	-	17	
2021-01-01 04:45:00	7.4	남	183	13.78	27.98	1.35	6.4	1.90	6.0	5.4	남서	225	-4.4	1023.8	-	22	
2021-01-01 04:50:00	4.6	서남서	241	13.79	27.79	1.44	7.0	2.04	6.5	4.7	남서	220	-4.4	1023.9	-	5	
2021-01-01 04:55:00	12.1	남남서	204	13.77	27.85	1.34	6.6	1.75	8.0	4.4	남서	221	-4.5	1023.9	-	7	
2021-01-01 05:00:00	5.6	서남서	252	13.77	27.85	1.27	6.5	1.62	7.0	4.3	남서	225	-4.2	1023.9	-	3	
2021-01-01 05:05:00	3.8	서남서	250	13.78	27.80	1.33	6.7	1.85	7.0	5.7	남서	222	-4.2	1023.8	-	5	
2021-01-01 05:10:00	7.9	남서	214	13.78	27.86	1.10	5.9	1.80	6.0	4.6	남서	224	-4.2	1023.9	-	357	
2021-01-01 05:15:00	9.4	남	176	13.78	27.79	1.31	6.5	2.02	6.0	4.4	서남서	258	-4.0	1023.9	-	352	
2021-01-01 05:20:00	7.0	남	171	13.77	27.86	1.17	6.8	1.38	5.5	3.4	서남서	254	-4.1	1023.9	-	16	
2021-01-01 05:25:00	4.7	남서	234	13.75	27.80	1.25	6.5	1.95	6.5	3.1	서남서	245	-4.2	1023.9	-	357	
2021-01-01 05:30:00	2.1	남남서	192	13.73	27.68	1.54	7.0	2.07	6.5	4.8	서	265	-4.2	1024.0	-	14	
2021-01-01 05:35:00	2.8	남	187	13.72	28.73	1.12	6.4	1.47	6.0	6.8	서북서	303	-3.3	1023.9	-	6	
2021-01-01 05:40:00	6.6	남	191	13.73	27.89	1.14	6.4	1.76	5.5	5.3	서	280	-3.3	1023.9	-	353	
2021-01-01 05:45:00	7.9	남남서	198	13.74	27.82	1.36	6.2	1.96	6.0	3.8	서남서	239	-4.1	1023.9	-	352	
2021-01-01 05:50:00	4.7	서	264	13.74	27.89	1.56	6.4	2.37	5.5	3.2	서남서	253	-4.0	1023.9	-	2	
2021-01-01 05:55:00	4.2	남서	223	13.76	27.93	1.13	6.7	1.49	6.5	4.0	서	267	-3.9	1023.9	-	12	
2021-01-01 06:00:00	3.5	서	276	13.76	28.55	1.40	6.5	2.09	6.5	4.2	서남서	252	-3.9	1023.8	-	355	
2021-01-01 06:05:00	3.7	남남서	206	13.74	28.08	1.17	6.6	2.11	6.0	4.7	서남서	251	-3.8	1023.8	-	25	
2021-01-01 06:10:00	4.7	남서	214	13.76	27.88	1.30	6.5	1.62	7.5	5.0	남서	223	-3.8	1023.7	-	3	
2021-01-01 06:15:00	1.6	서남서	245	13.73	29.05	1.35	6.5	1.70	7.5	5.3	남서	231	-3.7	1023.6	-	3	
2021-01-01 06:20:00	8.2	남서	216	13.73	27.82	1.38	6.8	2.05	6.0	4.9	남서	225	-3.9	1023.7	-	17	
2021-01-01 06:25:00	5.3	북북서	331	13.74	27.99	1.37	5.9	1.92	6.0	5.4	남서	216	-4.0	1023.6	-	354	
2021-01-01 06:30:00	3.8	남서	231	13.74	27.97	1.18	6.2	1.43	5.0	4.4	남서	232	-4.1	1023.7	-	23	
2021-01-01 06:35:00	5.4	남서	230	13.70	28.85	1.26	6.2	1.55	7.0	5.4	남서	220	-4.0	1023.6	-	20	
2021-01-01 06:40:00	10.8	남남서	195	13.71	27.90	1.22	6.5	1.88	5.5	5.0	남서	215	-4.0	1023.7	-	17	
2021-01-01 06:45:00	6.2	남	190	13.69	27.93	1.30	6.5	1.87	7.0	4.8	남남서	208	-4.0	1023.7	-	11	
2021-01-01 06:50:00	11.1	남	191	13.73	28.09	1.17	6.3	1.59	6.0	5.2	남남서	211	-4.0	1023.8	-	16	
