관측소명:경포대해수욕장
위도:37.808972
경도:128.931889
관측시간	유속(cm/s)	유향(16points)	유향(deg)	수온(℃)	유의파고(m)	유의파주기(sec)	최대파고(m)	최대파주기(sec)	풍속(m/s)	풍향(16points)	풍향(deg)	기온(℃)	기압(hPa)	시정(m)	파향(deg)	
2021-09-01 00:00:00	4.9	동남동	102	22.69	0.34	3.4	0.50	3.5	1.6	북	359	18.5	1013.6	-	87	
2021-09-01 00:05:00	4.6	남동	133	22.63	0.35	3.3	0.62	3.5	2.2	북	6	18.6	1013.7	-	83	
2021-09-01 00:10:00	3.3	동남동	124	22.60	0.31	3.6	0.46	3.5	2.7	북	353	18.6	1013.6	-	337	
2021-09-01 00:15:00	5.4	동남동	109	22.58	0.32	3.6	0.46	3.5	2.4	북북동	24	18.7	1013.5	-	324	
2021-09-01 00:20:00	2.6	동남동	116	22.55	0.33	3.5	0.44	3.0	3.1	북북동	23	18.7	1013.3	-	93	
2021-09-01 00:25:00	3.5	동남동	120	22.56	0.32	4.3	0.50	5.5	1.6	동북동	63	18.8	1013.2	-	334	
2021-09-01 00:30:00	3.4	동남동	113	22.59	0.34	3.5	0.57	3.0	0.9	남남동	164	18.9	1013.2	-	98	
2021-09-01 00:35:00	4.7	동남동	114	22.59	0.38	3.9	0.63	3.0	1.3	동	98	18.9	1013.1	-	102	
2021-09-01 00:40:00	6.5	동남동	106	22.63	0.32	4.3	0.49	5.0	3.5	동남동	113	19.0	1013.0	-	17	
2021-09-01 00:45:00	4.3	동남동	112	22.64	0.33	4.5	0.49	3.5	2.6	동남동	108	19.1	1013.3	-	251	
2021-09-01 00:50:00	3.3	동남동	109	22.60	0.34	4.2	0.52	3.0	3.0	동남동	112	19.2	1013.3	-	353	
2021-09-01 00:55:00	5.5	동남동	114	22.61	0.37	4.1	0.51	5.0	3.9	동남동	113	19.2	1013.1	-	346	
2021-09-01 01:00:00	6.3	동남동	114	22.56	0.37	3.8	0.46	5.5	3.4	동남동	111	19.2	1013.0	-	85	
2021-09-01 01:05:00	9.7	남동	144	22.41	0.43	4.3	0.61	3.5	2.1	서남서	246	19.1	1012.9	-	8	
2021-09-01 01:10:00	6.4	동남동	123	22.61	0.34	4.3	0.41	4.0	3.0	서	269	19.0	1013.2	-	21	
2021-09-01 01:15:00	8.4	남동	133	22.54	0.42	4.2	0.66	4.5	2.9	서	277	18.9	1013.3	-	324	
2021-09-01 01:20:00	9.1	남동	144	22.48	0.39	4.6	0.51	5.5	3.4	서북서	290	18.8	1013.1	-	108	
2021-09-01 01:25:00	6.7	남남동	150	22.54	0.37	4.5	0.47	3.0	3.9	서북서	288	18.8	1013.2	-	93	
2021-09-01 01:30:00	7.0	남동	139	22.41	0.41	4.5	0.52	5.0	3.1	서북서	301	18.8	1013.2	-	328	
2021-09-01 01:35:00	7.1	남동	146	22.48	0.36	3.5	0.50	4.5	3.0	서북서	299	18.8	1013.2	-	350	
2021-09-01 01:40:00	8.2	남동	135	22.45	0.38	4.5	0.49	5.5	3.9	북서	309	18.9	1013.2	-	346	
2021-09-01 01:45:00	6.7	남동	141	22.46	0.35	3.8	0.52	3.5	3.4	북서	321	18.8	1013.1	-	164	
2021-09-01 01:50:00	8.8	남동	146	22.40	0.41	3.9	0.60	3.0	3.5	북북서	330	19.0	1013.0	-	261	
2021-09-01 01:55:00	4.8	남동	127	22.53	0.41	4.9	0.55	5.0	3.7	북북서	343	19.0	1012.9	-	4	
2021-09-01 02:00:00	5.9	남동	137	22.58	0.40	4.1	0.57	5.0	3.1	북북서	337	19.0	1012.8	-	1	
2021-09-01 02:05:00	7.0	남동	143	22.59	0.43	4.2	0.80	5.0	2.8	북	0	19.0	1012.7	-	352	
2021-09-01 02:10:00	6.8	남동	125	22.61	0.47	4.4	0.75	5.0	5.5	동북동	75	19.0	1012.5	-	343	
2021-09-01 02:15:00	4.9	남동	126	22.50	0.43	4.1	0.55	5.0	7.4	동북동	73	19.1	1012.5	-	95	
2021-09-01 02:20:00	11.2	남남동	161	22.37	0.43	4.1	0.65	5.5	7.7	동북동	68	19.0	1012.6	-	91	
2021-09-01 02:25:00	4.5	남남동	163	22.44	0.48	3.5	0.67	5.0	7.5	동북동	65	19.1	1012.6	-	90	
