관측소명:경포대해수욕장
위도:37.808972
경도:128.931889
관측시간	유속(cm/s)	유향(16points)	유향(deg)	수온(℃)	유의파고(m)	유의파주기(sec)	최대파고(m)	최대파주기(sec)	풍속(m/s)		풍향(deg)	기온(℃)	기압(hPa)	시정(m)	파향(deg)	
2022/08/01 00:00:00	11.3	남남서	200	25.06	0.65	4.7	0.79	5.0	0.6	북	8	24.8	1007.5	-	162	
2022/08/01 00:05:00	11.3	남	189	25.05	0.63	5.1	1.01	4.5	0.7	북동	53	24.9	1007.5	-	261	
2022/08/01 00:10:00	10.6	남	190	25.05	0.60	5.2	0.91	4.5	0.7	북동	47	24.9	1007.4	-	122	
2022/08/01 00:15:00	10.5	남남서	203	25.05	0.67	4.8	1.05	4.5	1.0	동북동	65	25.0	1007.4	-	209	
2022/08/01 00:20:00	13.0	남남서	205	25.10	0.63	4.7	0.88	4.0	0.9	북북동	32	25.0	1007.4	-	329	
2022/08/01 00:25:00	13.0	남남서	203	25.10	0.51	4.8	0.92	4.0	1.2	북북동	12	25.0	1007.4	-	270	
2022/08/01 00:30:00	11.8	남남서	201	25.13	0.56	5.0	0.80	4.5	1.0	북북동	32	25.1	1007.4	-	120	
2022/08/01 00:35:00	13.4	남남서	202	25.13	0.55	4.7	0.90	4.5	0.9	북동	53	25.1	1007.3	-	122	
2022/08/01 00:40:00	12.2	남남서	205	25.18	0.62	4.6	0.89	5.5	1.5	동	100	25.1	1007.2	-	138	
2022/08/01 00:45:00	12.7	남남서	209	25.15	0.57	4.6	0.79	4.5	1.3	동남동	118	25.1	1007.1	-	120	
2022/08/01 00:50:00	13.3	남남서	200	25.16	0.62	4.8	0.89	4.0	1.1	동남동	121	25.1	1007.1	-	119	
2022/08/01 00:55:00	11.0	남남서	207	25.13	0.52	4.5	0.73	4.5	0.6	서	269	25.1	1007.1	-	102	
2022/08/01 01:00:00	8.8	남	188	25.09	0.59	4.6	0.80	3.5	0.2	서북서	302	25.0	1007.0	-	107	
2022/08/01 01:05:00	9.8	남	191	25.08	0.67	4.6	1.01	4.5	0.2	남서	220	25.0	1006.9	-	164	
2022/08/01 01:10:00	11.4	남남서	199	25.13	0.60	4.3	0.74	5.0	0.1	남서	229	25.0	1007.0	-	99	
2022/08/01 01:15:00	11.8	남서	215	25.14	0.64	4.4	0.81	5.5	0.5	서	265	24.9	1007.0	-	138	
2022/08/01 01:20:00	12.0	남남서	208	25.14	0.56	4.4	0.77	4.0	0.3	서	267	25.0	1007.0	-	119	
2022/08/01 01:25:00	13.8	남서	216	25.12	0.64	4.7	0.88	4.0	0.6	서북서	282	25.0	1007.0	-	110	
