包螟家疙:版器措秦荐垮厘
困档:37.808972
版档:128.931889
包螟矫埃	蜡加(cm/s)	蜡氢(16points)	蜡氢(deg)	荐柯(∩)	蜡狼颇绊(m)	蜡狼颇林扁(sec)	弥措颇绊(m)	弥措颇林扁(sec)	浅加(m/s)	浅氢(16points)	浅氢(deg)	扁柯(∩)	扁拘(hPa)	矫沥(m)	颇氢(deg)	
2023/02/01 00:00:00	18.0	合合辑	347	10.45	0.23	6.6	0.35	7.5	5.0	巢巢辑	213	8.6	1012.2	-	92	
2023/02/01 00:05:00	17.6	合	351	10.48	0.24	6.4	0.33	5.5	4.7	巢辑	228	8.6	1012.3	-	161	
2023/02/01 00:10:00	17.1	合合辑	345	10.53	0.25	6.1	0.44	7.0	4.9	巢辑	219	8.5	1012.2	-	90	
2023/02/01 00:15:00	16.7	合	350	10.51	0.25	6.0	0.41	5.5	4.2	巢辑	214	8.5	1012.2	-	100	
2023/02/01 00:20:00	15.8	合	351	10.50	0.22	7.0	0.35	6.0	3.7	巢辑	218	8.6	1012.1	-	92	
2023/02/01 00:25:00	17.3	合合辑	348	10.49	0.23	7.0	0.32	7.0	4.5	巢辑	214	8.7	1012.0	-	102	
2023/02/01 00:30:00	16.4	合	349	10.51	0.32	7.7	0.40	5.5	3.4	巢巢辑	209	8.7	1012.0	-	90	
2023/02/01 00:35:00	17.0	合合辑	346	10.51	0.24	7.3	0.32	8.0	5.4	巢辑	221	8.7	1011.9	-	89	
2023/02/01 00:40:00	15.4	合	349	10.49	0.26	7.2	0.32	7.5	5.1	巢辑	224	8.9	1011.8	-	102	
2023/02/01 00:45:00	15.9	合	349	10.48	0.23	6.5	0.37	7.0	3.7	巢辑	215	8.8	1011.8	-	90	
2023/02/01 00:50:00	16.5	合合辑	347	10.48	0.22	7.1	0.29	7.5	5.1	巢巢辑	211	8.7	1011.8	-	114	
2023/02/01 00:55:00	13.8	合合辑	342	10.51	0.24	6.8	0.30	8.0	3.3	辑巢辑	240	8.7	1011.8	-	112	
2023/02/01 01:00:00	15.0	合合辑	346	10.50	0.23	6.9	0.30	6.5	3.2	巢辑	234	8.7	1011.8	-	89	
2023/02/01 01:05:00	13.9	合合辑	347	10.50	0.22	6.7	0.29	7.0	4.1	辑巢辑	242	8.8	1011.8	-	69	
2023/02/01 01:10:00	16.1	合	349	10.48	0.24	6.5	0.30	4.5	4.3	辑巢辑	247	8.9	1011.7	-	87	
2023/02/01 01:15:00	14.1	合	355	10.49	0.20	6.8	0.27	5.5	3.3	辑巢辑	248	8.8	1011.7	-	77	
2023/02/01 01:20:00	13.8	合	354	10.45	0.24	7.1	0.39	7.5	2.4	辑	272	8.7	1011.8	-	109	
2023/02/01 01:25:00	14.0	合合辑	345	10.45	0.21	6.4	0.29	6.5	5.0	辑巢辑	252	9.1	1011.9	-	101	
2023/02/01 01:30:00	12.7	合	355	10.46	0.25	6.9	0.37	7.0	4.6	辑巢辑	244	9.2	1011.9	-	77	
2023/02/01 01:35:00	12.2	合合辑	348	10.45	0.25	6.6	0.35	7.5	3.9	巢辑	227	9.0	1012.0	-	90	
2023/02/01 01:40:00	11.5	合合辑	343	10.44	0.22	7.3	0.32	7.0	3.1	巢辑	231	8.8	1011.9	-	88	
2023/02/01 01:45:00	10.8	合	350	10.41	0.24	7.4	0.37	7.5	3.6	巢辑	230	8.7	1011.9	-	77	
2023/02/01 01:50:00	9.7	合	364	10.38	0.22	7.3	0.35	6.0	3.3	辑巢辑	240	8.6	1012.0	-	84	
2023/02/01 01:55:00	10.5	合	351	10.41	0.22	5.9	0.28	6.5	2.9	辑巢辑	241	8.8	1011.9	-	97	
2023/02/01 02:00:00	13.9	合	366	10.36	0.26	5.3	0.35	7.0	7.4	辑	266	9.2	1011.8	-	114	
2023/02/01 02:05:00	10.5	合合悼	16	10.35	0.27	7.2	0.31	7.5	7.1	辑	271	9.3	1012.0	-	82	
2023/02/01 02:10:00	11.0	合	366	10.36	0.25	6.2	0.33	7.0	3.4	辑	281	9.1	1012.1	-	86	
2023/02/01 02:15:00	10.8	合合悼	26	10.34	0.26	6.5	0.34	6.5	5.2	辑合辑	284	9.2	1012.2	-	101	
2023/02/01 02:20:00	9.6	合合悼	13	10.32	0.25	5.7	0.46	7.0	4.8	辑巢辑	256	9.2	1012.2	-	77	
2023/02/01 02:25:00	8.1	合	353	10.30	0.27	6.4	0.36	7.5	4.5	辑巢辑	251	9.1	1012.2	-	81	
2023/02/01 02:30:00	10.8	合	365	10.31	0.26	6.7	0.37	8.0	5.8	辑	260	9.2	1012.2	-	64	
2023/02/01 02:35:00	10.7	合合悼	15	10.29	0.24	5.2	0.33	3.0	5.5	辑巢辑	257	9.1	1012.3	-	68	
2023/02/01 02:40:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2023/02/01 02:45:00	11.4	合	355	10.29	0.27	5.9	0.37	8.0	3.8	辑合辑	287	8.9	1012.4	-	74	
2023/02/01 02:50:00	11.0	合合辑	344	10.30	0.28	6.4	0.42	8.5	4.9	辑	270	9.0	1012.4	-	93	
2023/02/01 02:55:00	10.0	合合辑	346	10.29	0.25	4.9	0.33	6.5	3.5	辑合辑	302	8.9	1012.4	-	104	
