°üÃø¼Ò¸í:°æÆ÷´ëÇØ¼ö¿åÀå
À§µµ:37.808972
°æµµ:128.931889
°üÃø½Ã°£	À¯¼Ó(cm/s)	À¯Çâ(16points)	À¯Çâ(deg)	¼ö¿Â(¡É)	À¯ÀÇÆÄ°í(m)	À¯ÀÇÆÄÁÖ±â(sec)	ÃÖ´ëÆÄ°í(m)	ÃÖ´ëÆÄÁÖ±â(sec)	Ç³¼Ó(m/s)	Ç³Çâ(16points)	Ç³Çâ(deg)	±â¿Â(¡É)	±â¾Ð(hPa)	½ÃÁ¤(m)	ÆÄÇâ(deg)	
2023/03/01 00:00:00	20.7	ºÏºÏ¼­	340	9.94	0.36	5.1	0.41	6.0	2.2	³²³²µ¿	163	9.4	1021.7	-	112	
2023/03/01 00:05:00	20.2	ºÏºÏ¼­	338	9.96	0.41	5.3	0.56	4.5	2.0	³²³²µ¿	154	9.4	1021.7	-	349	
2023/03/01 00:10:00	24.8	ºÏºÏ¼­	341	9.97	0.34	5.0	0.46	4.0	2.4	³²³²µ¿	152	9.4	1021.8	-	148	
2023/03/01 00:15:00	22.0	ºÏºÏ¼­	332	9.97	0.35	5.2	0.42	4.5	3.0	³²¼­	228	9.4	1021.6	-	90	
2023/03/01 00:20:00	22.3	ºÏºÏ¼­	335	9.97	0.39	4.9	0.52	5.0	2.4	¼­³²¼­	237	9.5	1021.6	-	272	
2023/03/01 00:25:00	21.9	ºÏºÏ¼­	340	9.95	0.42	5.0	0.54	5.5	2.2	³²¼­	216	9.5	1021.6	-	69	
2023/03/01 00:30:00	20.0	ºÏºÏ¼­	348	9.92	0.39	5.0	0.63	5.0	1.9	³²	182	9.5	1021.3	-	19	
2023/03/01 00:35:00	25.2	ºÏºÏ¼­	338	10.00	0.42	5.3	0.58	5.0	1.9	³²³²¼­	201	9.5	1021.3	-	353	
2023/03/01 00:40:00	35.1	ºÏºÏ¼­	340	10.23	0.39	5.3	0.56	5.5	3.6	³²¼­	227	9.4	1021.4	-	32	
2023/03/01 00:45:00	32.6	ºÏºÏ¼­	338	10.29	0.39	5.6	0.53	4.0	3.5	¼­³²¼­	255	9.4	1021.5	-	85	
2023/03/01 00:50:00	33.7	ºÏºÏ¼­	333	10.32	0.37	4.9	0.57	5.0	2.6	¼­	271	9.5	1021.6	-	293	
2023/03/01 00:55:00	33.3	ºÏºÏ¼­	335	10.28	0.51	5.3	0.74	5.0	1.8	¼­	265	9.5	1021.4	-	1	
2023/03/01 01:00:00	30.7	ºÏºÏ¼­	335	10.23	0.44	5.2	0.69	5.0	0.8	³²³²¼­	193	9.5	1021.3	-	354	
2023/03/01 01:05:00	28.3	ºÏºÏ¼­	335	10.15	0.42	5.3	0.52	5.5	3.0	³²³²¼­	197	9.6	1021.2	-	330	
2023/03/01 01:10:00	22.4	ºÏºÏ¼­	343	10.09	0.49	5.3	0.72	5.5	2.4	³²³²¼­	196	9.7	1021.2	-	6	
2023/03/01 01:15:00	21.2	ºÏºÏ¼­	335	10.02	0.49	5.1	0.83	5.5	4.7	³²³²¼­	203	9.6	1021.2	-	342	
2023/03/01 01:20:00	22.5	ºÏºÏ¼­	341	9.99	0.48	5.8	0.77	5.5	4.1	³²³²¼­	197	9.5	1021.2	-	56	
2023/03/01 01:25:00	19.6	ºÏ	349	9.95	0.52	5.2	0.78	5.0	2.6	³²¼­	216	9.6	1021.2	-	325	
2023/03/01 01:30:00	19.6	ºÏ	350	9.93	0.52	5.2	0.78	6.0	3.3	³²³²¼­	204	9.6	1021.2	-	2	
2023/03/01 01:35:00	27.4	ºÏºÏ¼­	348	9.97	0.53	5.3	0.66	4.5	2.4	³²¼­	219	9.6	1021.3	-	343	
2023/03/01 01:40:00	33.2	ºÏºÏ¼­	345	10.15	0.59	5.1	0.66	5.5	2.9	³²³²¼­	194	9.5	1021.2	-	331	
2023/03/01 01:45:00	33.5	ºÏºÏ¼­	342	10.15	0.56	5.1	0.88	5.0	1.0	³²¼­	227	9.5	1021.2	-	5	
2023/03/01 01:50:00	31.0	ºÏºÏ¼­	343	10.07	0.58	5.2	0.73	5.0	0.0	µ¿ºÏµ¿	71	9.4	1021.3	-	18	
2023/03/01 01:55:00	33.0	ºÏºÏ¼­	346	10.01	0.47	5.1	0.65	5.0	0.6	ºÏºÏµ¿	23	9.4	1021.4	-	72	
2023/03/01 02:00:00	30.2	ºÏºÏ¼­	347	9.95	0.54	5.2	0.89	4.5	0.7	µ¿ºÏµ¿	61	9.5	1021.3	-	1	
2023/03/01 02:05:00	28.1	ºÏ	349	9.97	0.54	5.3	0.82	5.5	0.4	³²¼­	234	9.5	1021.4	-	344	
2023/03/01 02:10:00	26.8	ºÏ	352	9.97	0.59	5.1	0.84	4.5	1.6	³²³²¼­	212	9.5	1021.4	-	348	
2023/03/01 02:15:00	30.3	ºÏ	352	9.99	0.53	4.9	0.68	4.5	2.2	³²	177	9.6	1021.4	-	344	
2023/03/01 02:20:00	33.8	ºÏ	353	10.11	0.55	4.9	0.79	5.0	2.0	³²	178	9.5	1021.4	-	26	
2023/03/01 02:25:00	30.6	ºÏ	3	10.13	0.59	4.9	0.76	5.5	1.9	³²	182	9.4	1021.4	-	323	
2023/03/01 02:30:00	28.0	ºÏ	359	10.14	0.56	5.0	0.79	5.0	1.2	³²	177	9.3	1021.4	-	345	
2023/03/01 02:35:00	31.7	ºÏ	357	10.10	0.61	4.9	0.92	5.5	1.0	³²³²¼­	212	9.3	1021.5	-	2	
2023/03/01 02:40:00	27.9	ºÏ	355	10.05	0.52	4.9	0.61	4.5	1.2	³²³²¼­	212	9.2	1021.5	-	9	
2023/03/01 02:45:00	34.5	ºÏ	357	10.09	0.64	4.9	0.93	4.5	2.0	³²³²¼­	200	9.2	1021.4	-	20	
2023/03/01 02:50:00	27.6	ºÏ	354	10.03	0.66	5.0	0.96	5.5	1.7	³²³²¼­	196	9.3	1021.3	-	6	
2023/03/01 02:55:00	31.4	ºÏ	354	10.05	0.53	4.8	0.75	4.5	2.4	³²¼­	220	9.3	1021.3	-	356	
2023/03/01 03:00:00	33.5	ºÏ	352	10.13	0.68	5.2	1.07	5.0	1.8	¼­³²¼­	239	9.3	1021.4	-	352	
2023/03/01 03:05:00	29.8	ºÏ	350	10.13	0.72	4.9	1.18	5.0	1.4	¼­³²¼­	254	9.2	1021.4	-	334	
2023/03/01 03:10:00	27.4	ºÏºÏ¼­	348	10.14	0.65	4.8	0.93	4.5	0.9	¼­ºÏ¼­	289	9.1	1021.4	-	356	
2023/03/01 03:15:00	27.3	ºÏ	353	10.10	0.68	4.9	1.01	4.5	1.4	¼­³²¼­	242	9.1	1021.5	-	3	
2023/03/01 03:20:00	27.3	ºÏ	357	10.08	0.75	5.1	1.15	4.5	2.0	¼­³²¼­	238	9.2	1021.5	-	33	
2023/03/01 03:25:00	22.9	ºÏ	353	10.03	0.56	5.2	0.92	5.0	1.1	³²¼­	217	9.2	1021.3	-	346	
2023/03/01 03:30:00	25.6	ºÏºÏ¼­	349	10.02	0.60	4.9	0.86	5.0	1.5	³²¼­	225	9.3	1021.2	-	346	
2023/03/01 03:35:00	23.0	ºÏ	352	9.98	0.60	4.9	0.78	5.5	4.6	³²³²¼­	213	9.4	1021.1	-	5	
2023/03/01 03:40:00	23.3	ºÏ	351	10.00	0.67	5.0	1.15	5.0	4.0	³²³²¼­	210	9.4	1021.1	-	25	
2023/03/01 03:45:00	17.9	ºÏ	350	9.94	0.66	5.2	0.85	4.5	3.3	³²³²¼­	207	9.3	1021.1	-	5	
2023/03/01 03:50:00	17.0	ºÏºÏ¼­	348	9.93	0.62	4.5	0.94	5.0	5.0	³²³²¼­	206	9.0	1021.1	-	283	
2023/03/01 03:55:00	19.4	ºÏºÏ¼­	349	9.93	0.76	4.8	1.25	4.5	5.2	³²³²¼­	209	8.9	1021.0	-	17	
2023/03/01 04:00:00	20.1	ºÏ	351	9.93	0.54	4.9	0.75	5.5	4.8	³²¼­	216	8.9	1021.0	-	341	
2023/03/01 04:05:00	16.3	ºÏ	355	9.87	0.68	4.7	0.92	5.0	4.8	³²¼­	232	8.8	1021.1	-	4	
2023/03/01 04:10:00	16.6	ºÏºÏ¼­	348	9.84	0.66	4.9	0.96	5.0	5.2	¼­³²¼­	247	8.5	1021.2	-	6	
2023/03/01 04:15:00	18.9	ºÏ	351	9.81	0.78	5.0	1.11	5.0	4.2	¼­³²¼­	250	8.1	1021.3	-	1	
2023/03/01 04:20:00	18.0	ºÏ	351	9.80	0.66	4.8	1.07	5.0	3.2	¼­³²¼­	246	8.2	1021.4	-	318	
2023/03/01 04:25:00	16.1	ºÏºÏ¼­	348	9.81	0.52	4.9	0.86	5.0	4.7	³²¼­	231	8.5	1021.3	-	59	
2023/03/01 04:30:00	15.8	ºÏ	358	9.80	0.53	4.8	0.72	5.0	5.3	³²¼­	234	8.7	1021.2	-	10	
2023/03/01 04:35:00	14.0	ºÏºÏ¼­	347	9.80	0.53	5.0	0.93	5.0	4.5	³²¼­	230	8.7	1021.1	-	346	
2023/03/01 04:40:00	15.3	ºÏºÏ¼­	348	9.78	0.62	4.8	0.96	4.5	5.3	¼­³²¼­	237	8.7	1021.1	-	142	
2023/03/01 04:45:00	18.5	ºÏºÏ¼­	346	9.77	0.69	4.5	0.89	4.5	5.3	³²¼­	228	8.8	1021.0	-	322	
2023/03/01 04:50:00	15.5	ºÏ	351	9.76	0.67	5.0	1.04	5.0	4.6	³²¼­	228	8.7	1020.9	-	14	
2023/03/01 04:55:00	12.7	ºÏ	352	9.73	0.69	4.9	0.94	4.5	3.8	³²¼­	229	8.6	1020.8	-	347	
2023/03/01 05:00:00	14.5	ºÏºÏ¼­	345	9.74	0.59	5.4	0.75	5.5	2.7	³²¼­	226	8.6	1020.8	-	133	
2023/03/01 05:05:00	21.7	ºÏºÏ¼­	346	9.76	0.57	4.8	0.85	4.5	3.1	³²¼­	224	8.6	1020.9	-	301	
2023/03/01 05:10:00	18.8	ºÏºÏ¼­	341	9.79	0.55	5.1	0.84	5.0	2.7	³²¼­	230	8.6	1020.8	-	36	
2023/03/01 05:15:00	19.8	ºÏºÏ¼­	342	9.78	0.58	5.1	0.81	5.0	2.6	³²¼­	235	8.6	1020.8	-	70	
2023/03/01 05:20:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2023/03/01 05:25:00	18.5	ºÏ	356	9.67	0.56	5.0	0.76	5.5	0.9	¼­³²¼­	244	8.6	1020.8	-	317	
2023/03/01 05:30:00	18.7	ºÏºÏ¼­	346	9.68	0.57	5.3	0.79	5.0	1.7	³²¼­	222	8.6	1020.8	-	332	
2023/03/01 05:35:00	15.8	ºÏºÏ¼­	346	9.73	0.62	5.0	0.98	4.5	3.1	¼­³²¼­	237	8.6	1020.7	-	345	
2023/03/01 05:40:00	16.7	ºÏºÏ¼­	344	9.77	0.60	4.9	0.82	5.0	2.4	³²¼­	229	8.7	1020.8	-	292	
2023/03/01 05:45:00	16.1	ºÏ	350	9.80	0.49	4.7	0.64	5.0	2.4	³²¼­	223	8.7	1020.9	-	23	
2023/03/01 05:50:00	17.0	ºÏºÏ¼­	341	9.82	0.51	5.2	0.61	4.0	3.0	³²¼­	229	8.7	1020.7	-	345	
2023/03/01 05:55:00	13.7	ºÏ	350	9.85	0.48	5.3	0.71	4.0	3.7	³²¼­	222	8.7	1020.7	-	97	
2023/03/01 06:00:00	14.0	ºÏºÏ¼­	349	9.84	0.58	5.1	0.74	4.5	3.0	³²¼­	233	8.7	1020.7	-	19	
2023/03/01 06:05:00	12.6	ºÏºÏ¼­	342	9.84	0.59	5.0	0.83	4.5	3.7	³²¼­	236	8.7	1020.7	-	313	
2023/03/01 06:10:00	15.1	ºÏºÏ¼­	342	9.85	0.54	4.7	0.84	5.5	4.3	¼­³²¼­	238	8.7	1020.6	-	45	
2023/03/01 06:15:00	12.2	ºÏºÏ¼­	344	9.83	0.53	5.0	0.84	5.5	3.7	³²¼­	235	8.7	1020.8	-	104	
2023/03/01 06:20:00	12.4	ºÏºÏ¼­	338	9.81	0.56	4.9	0.89	4.5	2.9	³²¼­	229	8.7	1020.9	-	328	
2023/03/01 06:25:00	15.3	ºÏºÏ¼­	341	9.86	0.56	5.0	0.71	5.0	3.0	³²¼­	232	8.6	1020.8	-	17	
2023/03/01 06:30:00	14.8	ºÏºÏ¼­	340	9.87	0.49	5.3	0.71	4.5	3.0	³²¼­	227	8.6	1020.7	-	310	
2023/03/01 06:35:00	15.2	ºÏºÏ¼­	337	9.87	0.54	4.9	0.73	5.0	2.0	³²¼­	226	8.6	1020.8	-	327	
2023/03/01 06:40:00	13.9	ºÏºÏ¼­	339	9.81	0.48	5.0	0.67	5.5	2.2	³²¼­	218	8.6	1020.7	-	242	
2023/03/01 06:45:00	13.2	ºÏºÏ¼­	341	9.88	0.48	4.9	0.69	5.0	2.7	³²¼­	222	8.6	1020.6	-	16	
2023/03/01 06:50:00	14.7	ºÏºÏ¼­	346	9.84	0.52	5.2	0.69	4.0	2.6	³²¼­	215	8.7	1020.7	-	329	
2023/03/01 06:55:00	12.9	ºÏºÏ¼­	344	9.84	0.47	5.2	0.67	5.0	2.2	³²¼­	225	8.7	1020.6	-	81	
2023/03/01 07:00:00	13.2	ºÏ	349	9.87	0.54	4.8	0.69	5.5	2.4	³²¼­	233	8.7	1020.5	-	351	
2023/03/01 07:05:00	9.4	ºÏ	4	9.87	0.52	4.9	0.67	5.0	2.4	³²¼­	227	8.6	1020.5	-	338	
2023/03/01 07:10:00	10.7	ºÏºÏ¼­	345	9.87	0.50	4.9	0.63	5.0	1.6	¼­³²¼­	248	8.6	1020.5	-	296	
2023/03/01 07:15:00	12.8	ºÏºÏ¼­	347	9.86	0.51	4.7	0.76	4.5	1.2	¼­³²¼­	258	8.5	1020.5	-	342	
2023/03/01 07:20:00	9.7	ºÏºÏ¼­	331	9.89	0.46	5.0	0.64	5.0	1.3	³²¼­	235	8.5	1020.5	-	332	
2023/03/01 07:25:00	12.4	ºÏºÏ¼­	342	9.89	0.46	5.1	0.70	4.0	1.1	¼­³²¼­	253	8.5	1020.6	-	358	
2023/03/01 07:30:00	14.2	ºÏºÏ¼­	342	9.86	0.43	5.1	0.67	4.5	1.5	¼­³²¼­	258	8.5	1020.5	-	146	
2023/03/01 07:35:00	14.7	ºÏºÏ¼­	346	9.86	0.43	5.0	0.54	4.0	1.4	¼­	270	8.4	1020.5	-	97	
2023/03/01 07:40:00	13.7	ºÏºÏ¼­	332	9.85	0.47	4.3	0.67	3.5	1.0	¼­	262	8.4	1020.5	-	163	
2023/03/01 07:45:00	10.8	ºÏºÏ¼­	345	9.85	0.43	4.9	0.51	5.5	1.5	³²¼­	230	8.4	1020.6	-	66	
2023/03/01 07:50:00	16.5	ºÏ	353	9.85	0.47	5.0	0.65	5.0	1.1	³²¼­	234	8.4	1020.7	-	94	
2023/03/01 07:55:00	14.2	ºÏºÏ¼­	343	9.81	0.41	4.6	0.52	4.5	1.3	¼­	260	8.3	1020.7	-	321	
2023/03/01 08:00:00	17.4	ºÏ	350	9.85	0.40	5.0	0.51	5.0	1.6	¼­	277	8.2	1020.7	-	350	
2023/03/01 08:05:00	16.8	ºÏºÏ¼­	344	9.84	0.39	4.7	0.57	4.5	1.4	¼­	278	8.3	1020.7	-	145	
2023/03/01 08:10:00	16.0	ºÏºÏ¼­	338	9.82	0.38	5.2	0.47	5.0	1.3	¼­³²¼­	241	8.2	1020.7	-	95	
2023/03/01 08:15:00	19.0	ºÏºÏ¼­	336	9.80	0.39	5.4	0.60	4.5	1.9	¼­³²¼­	246	8.2	1020.8	-	347	
2023/03/01 08:20:00	15.9	ºÏºÏ¼­	328	9.79	0.34	5.1	0.38	5.5	2.1	¼­³²¼­	244	8.1	1020.8	-	82	
2023/03/01 08:25:00	19.0	ºÏºÏ¼­	335	9.80	0.35	4.8	0.50	5.0	2.1	¼­³²¼­	239	8.1	1020.8	-	288	
