°üÃø¼Ò¸í:°æÆ÷´ëÇØ¼ö¿åÀå
À§µµ:37.808972
°æµµ:128.931889
°üÃø½Ã°£	À¯¼Ó(cm/s)	À¯Çâ(16points)	À¯Çâ(deg)	¼ö¿Â(¡É)	À¯ÀÇÆÄ°í(m)	À¯ÀÇÆÄÁÖ±â(sec)	ÃÖ´ëÆÄ°í(m)	ÃÖ´ëÆÄÁÖ±â(sec)	Ç³¼Ó(m/s)		Ç³Çâ(deg)	±â¿Â(¡É)	±â¾Ð(hPa)	½ÃÁ¤(m)	ÆÄÇâ(deg)	
2023/11/01 00:00:00	22.5	ºÏ¼­	304	17.45	0.15	5.6	0.27	5.0	6.8	³²¼­	224	20.1	1017.4	-	100	
2023/11/01 00:05:00	24.2	¼­ºÏ¼­	303	17.53	0.17	5.7	0.22	4.0	8.2	³²¼­	225	20.1	1017.3	-	101	
2023/11/01 00:10:00	25.3	ºÏ¼­	317	17.53	0.19	5.6	0.27	6.0	7.8	³²¼­	222	20.1	1017.4	-	83	
2023/11/01 00:15:00	25.6	ºÏ¼­	312	17.63	0.20	6.3	0.30	5.5	8.3	³²³²¼­	211	20.1	1017.4	-	81	
2023/11/01 00:20:00	27.2	ºÏ¼­	315	17.67	0.15	6.0	0.22	6.5	8.2	³²¼­	214	20.2	1017.4	-	101	
2023/11/01 00:25:00	26.2	ºÏ¼­	311	17.73	0.15	5.1	0.23	4.5	8.1	³²¼­	216	20.1	1017.4	-	255	
2023/11/01 00:30:00	22.7	ºÏ¼­	314	17.72	0.18	6.0	0.27	5.5	7.7	³²¼­	220	20.1	1017.5	-	103	
2023/11/01 00:35:00	24.3	ºÏ¼­	312	17.73	0.18	5.8	0.24	5.5	7.1	³²¼­	218	20.0	1017.5	-	298	
2023/11/01 00:40:00	26.5	ºÏ¼­	313	17.76	0.16	5.3	0.24	5.0	6.8	³²³²¼­	210	20.0	1017.5	-	58	
2023/11/01 00:45:00	24.8	ºÏ¼­	307	17.81	0.15	5.2	0.21	6.0	6.8	³²³²¼­	211	20.0	1017.4	-	80	
2023/11/01 00:50:00	23.7	ºÏ¼­	306	17.82	0.19	6.4	0.29	6.0	6.9	³²¼­	215	19.8	1017.4	-	66	
